time,x1
0,0
2,-6120.93123147111
4,-12888.810568359548
6,-17119.91095132436
8,-13943.441305259787
10,-6605.297317768497
12,-9094.213437614204
14,-8969.451931583639
16,-6189.387485592941
18,-9752.133602327956
20,-15301.445658865723
22,-21270.385599457048
24,-25259.034667895212
26,-31179.74031352592
28,-34377.14689645972
30,-34776.292213237175
32,-34618.959357032705
34,-38602.32364891473
36,-46480.86767216809
38,-50798.64872194604
40,-48648.20656266399
42,-41351.792876846775
44,-33858.52636052624
46,-24363.33026591577
48,-17171.526641777462
50,-10768.654370018128
52,-1397.9691041303365
54,10225.432894367746
56,28543.960913437524
58,41361.44683196281
60,44344.20416774206
62,43473.619399929245
64,42497.269526277814
66,35449.25077201177
68,24046.136677729308
70,17193.88738363076
72,11391.222200218315
74,938.3848399759045
76,-12654.251470338007
78,-23705.75425221699
80,-28193.261184745534
82,-29141.928943564846
84,-31631.73964593016
86,-38313.49908757959
88,-49271.2161501796
90,-59943.96985057101
92,-60026.82348110345
94,-56223.929631535444
96,-52268.269340001985
98,-52696.20440275634
100,-50027.03784327359
102,-45875.77679070046
104,-40774.653452393475
106,-34961.172399581934
108,-35389.16819122601
110,-37568.704485387556
112,-34196.74970034189
114,-33587.77468524229
116,-38689.34246514934
118,-42587.41055907094
120,-44687.47644312082
122,-42230.036072967654
124,-39640.30676506863
126,-38355.06557674217
128,-35780.64086773734
130,-36478.68841422873
132,-33650.709928988006
134,-29801.00894734777
136,-24443.472494525115
138,-28156.001572216446
140,-36245.35630926871
142,-50163.3993106362
144,-63672.329690673454
146,-72928.58777002673
148,-69170.434541753
150,-60694.86156996754
152,-60777.491348964766
154,-63814.685111742394
156,-61850.7583348591
158,-56615.19315808207
160,-54975.19533451216
162,-56780.20605393188
164,-51682.757304903425
166,-43332.57564780668
168,-43681.881143654435
170,-39691.07400331009
172,-34282.180986885316
174,-29408.574034180492
176,-19646.547048567838
178,-9193.809899762957
180,-2271.7697472350337
182,-3151.9395422598536
184,-4894.992955749884
186,-10794.194450073723
188,-20254.241655741003
190,-29035.10446522691
192,-35840.57110245798
194,-38305.66954881084
196,-43668.98066440038
198,-54158.8918725917
200,-57631.97204120281
